x,y
3.499,6.98
3.962,2.64
3.326,7.455
7.517,4.252
1.506,6.33
7.056,7.089
2.129,5.48
7.625,7.683
4.216,4.102
3.737,2.716
8.409,3.61
3.694,3.899
1.388,1.341
6.413,5.951
5.792,7.469
4.557,8.103
5.666,2.811
4.005,2.715
2.236,5.097
2.978,8.88
3.831,1.833
7.552,1.506
2.428,3.117
7.094,3.854
2.307,6.981
1.391,4.221
6.243,8.487
5.243,3.134
7.601,3.922
1.17,5.037
4.56,4.786
6.329,3.599
8.567,7.112
1.318,1.202
7.993,2.639
2.442,3.313
5.542,5.991
4.087,3.62
5.005,2.806
3.478,5.037
4.595,4.23
1.898,1.205
2.721,5.136
2.634,2.038
8.985,1.175
5.774,4.222
8.6,8.101
8.926,5.023
5.366,8.484
4.246,6.468
6.133,8.65
2.203,8.014
3.757,5.802
2.735,2.376
5.772,4.871
2.094,1.821
6.571,4.789
4.389,2.029
8.84,7.76
1.013,3.537
8.038,6.55
1.345,4.379
3.83,6.456
7.68,4.383
8.257,4.779
2.706,3.39
2.173,1.668
3.056,4.802
4.583,3.415
7.355,1.541
2.807,2.031
5.652,2.719
6.987,6.091
1.143,5.985
3.711,8.519
7.974,1.304
1.866,6.103
1.399,8.45
1.965,1.376
1.416,8.486
8.037,1.147
1.549,3.126
6.028,5.918
6.187,8.476
2.266,5.723
8.495,3.609
6.007,8.304
4.414,8.665
4.907,4.007
8.892,6.161
7.794,5.653
3.919,7.394
2.884,3.028
5.693,8.405
4.231,8.475
4.012,4.736
6.909,8.024
3.817,5.65
1.356,4.485
2.267,7.685
