x,y
3.80,7.10
4.00,2.67
3.50,7.50
7.30,4.30
1.80,6.40
7.10,7.15
2.20,5.60
7.70,7.70
4.10,4.10
4.00,2.80
8.40,3.70
3.95,3.95
1.50,1.50
6.00,6.00
6.00,7.50
4.80,8.20
5.80,2.90
4.00,2.80
2.20,5.10
3.00,9.00
4.00,1.90
7.50,1.60
2.40,3.20
7.00,3.90
2.50,7.00
1.50,4.20
6.00,8.50
5.25,3.25
7.40,3.95
1.00,5.00
4.50,4.90
6.00,3.67
8.80,7.20
1.30,1.30
7.80,2.70
2.40,3.40
5.50,6.00
4.00,3.70
5.00,2.90
3.50,5.10
4.50,4.25
2.00,1.33
2.50,5.20
2.50,2.00
9.25,1.25
5.60,4.20
8.90,8.10
9.00,5.00
5.50,8.50
4.50,6.50
6.00,8.75
2.20,8.00
3.85,5.85
2.40,2.40
5.50,4.95
2.10,1.90
6.00,4.90
4.50,2.10
8.90,7.80
1.00,3.60
8.00,6.60
1.40,4.40
4.00,6.50
7.40,4.40
8.00,4.80
2.50,3.40
2.20,1.80
3.00,4.90
4.50,3.50
7.20,1.60
2.50,2.10
5.80,2.80
6.80,6.10
1.00,6.00
3.60,8.60
8.00,1.40
2.00,6.10
1.80,8.40
2.00,1.50
1.80,8.50
8.20,1.20
1.80,3.20
6.00,6.00
6.00,8.50
2.30,5.70
8.40,3.70
6.00,8.33
4.80,8.70
5.00,4.00
9.20,6.20
7.20,5.70
4.00,7.40
2.80,3.10
5.80,8.40
4.50,8.50
4.00,4.85
7.00,8.00
4.00,5.70
1.50,4.50
2.40,7.70
