x,y
3.83,7.22
4.00,2.00
3.71,7.97
7.66,3.89
2.13,6.14
7.00,7.00
2.20,6.10
7.56,7.70
4.05,3.90
3.90,2.40
7.55,3.83
3.91,3.77
1.41,1.89
6.24,5.93
6.00,7.99
4.25,7.75
6.00,2.67
3.88,2.17
2.15,5.75
3.00,7.85
4.08,1.92
7.76,1.93
2.46,3.53
7.40,3.72
2.25,7.50
2.00,4.00
6.12,8.23
5.00,3.50
7.54,3.96
1.57,5.55
4.52,4.49
5.50,3.50
8.25,7.25
2.05,2.04
8.18,1.91
2.08,3.85
6.00,5.90
4.13,3.79
5.00,2.75
3.59,5.18
3.80,4.06
2.12,1.64
2.36,5.53
2.52,1.87
8.31,2.19
5.66,4.19
8.86,7.95
8.25,4.75
5.77,7.84
4.04,6.05
5.95,7.85
2.00,7.90
4.00,5.97
2.96,1.80
6.27,4.40
2.30,1.95
6.53,4.33
4.24,1.97
8.27,7.82
1.88,3.98
7.85,5.80
2.00,4.00
4.25,6.10
7.59,4.18
7.82,3.97
2.67,3.60
2.00,1.54
2.93,4.43
4.35,3.81
8.15,2.18
2.12,1.85
6.25,2.75
7.00,6.00
1.89,5.79
3.64,8.25
8.21,1.66
2.30,5.80
2.00,7.50
2.52,1.85
2.00,8.00
7.63,1.74
2.00,3.50
5.71,5.99
6.17,8.12
2.48,6.06
8.04,3.93
6.00,8.11
4.10,8.03
5.00,3.72
7.93,6.02
7.75,6.00
3.89,7.67
2.30,3.70
6.00,8.00
4.14,7.89
4.01,3.91
7.11,7.95
4.07,5.87
2.00,4.00
2.00,8.00
